Source,Name,RSS feed URLs (where available),Type,Topic,Source or Referring 2,Editorial Slant,AllSides Rating,Pew Rating,BU_Libraries_ideology_score,Facebook_paper_ideology_score,AdFontes Bias,AdFontes Bias Score,AdFontes Reliability,AdFontes Reliability Score,Associated Twitter Handle,Associated Publisher,Text Aliases,Description,Position (if explicit),wiki_url,wiki_summary_city,wiki_summary_country,Country,Region,Twitter_bio,Est number of pages
https://www.burlingtonfreepress.com,The Burlington Free Press,,News Source,International,Referring,,,,,,,,,,@bfp_news,The Burlington Free Press,,Vermont news,,https://en.wikipedia.org/wiki/The_Burlington_Free_Press,Burlington,,United States,NAmerica,,
https://www.cjnews.com/,The Canadian Jewish News,,News Source,Jewish,Referring,,,,,,,,,,@TheCJN,The Canadian Jewish News,,Canada-Based News Site,Pro-Israel,https://en.wikipedia.org/wiki/Canadian_Jewish_News,Toronto,Canada,Canada,NAmerica,,
https://www.thecanadianpress.com/,The Canadian Press,,News Source,Wire,Referring,,,,,,,,,,@CanadianPress,,,,,https://en.wikipedia.org/wiki/The_Canadian_Press,Toronto,Canada,Canada,NAmerica,,
https://www.wvgazettemail.com,The Charleston Gazette,,News Source,International,Referring,,,,,,,,,,@wvgazettemail,The Charleston Gazette,,,,https://en.wikipedia.org/wiki/Charleston_Gazette-Mail,Charleston,,United States,NAmerica,,
http://english.chosun.com/,The Chosun Ilbo,,News Source,International,Referring,,,,,,,,,,@EnglishChosun,,,,,,,,South Korea,Asia,,
https://www.christianpost.com,The Christian Post,,News Source,Christian,Referring,,,,,0.6722,,,,,@ChristianPost,The Christian Post,,"US based, member of the Evangelical Press Association",,https://en.wikipedia.org/wiki/The_Christian_Post,Washington,,United States,NAmerica,,
https://www.dispatch.com,The Columbus Dispatch,,News Source,International,Referring,,,,,,,,,,@DispatchAlerts,The Columbus Dispatch,,Ohio news,,https://en.wikipedia.org/wiki/The_Columbus_Dispatch,Columbus,,United States,NAmerica,,
https://www.commercialappeal.com,The Commerical Appeal,,News Source,International,Referring,,left-center,,,,,,,,@memphisnews,The Commerical Appeal, ,Tennesee news,,https://en.wikipedia.org/wiki/The_Commercial_Appeal,"Memphis, Tennessee",United States,United States,NAmerica,,
https://www.thedailybeast.com,The Daily Best,,News Source,International,Referring,left,left,,,-0.4561,skews left,-16.25,mixed reliability,34.44,@thedailybeast,The Daily Beast, ,,,https://en.wikipedia.org/wiki/The_Daily_Beast,New York City,United States,United States,NAmerica,,
https://www.thedailystar.net,The Daily Star,,News Source,International,Referring,,,,,,,,,,@dailystarnews,The Daily Star,,Bangladesh news,,,,,Bangladesh,Asia,,
https://www.dailystar.com.lb,The Daily Star (Lebanon),,News Source,International,Referring,,,,,,,,,,@DailyStarLeb,The Daily Star (Lebanon),,Lebanese news site,,https://en.wikipedia.org/wiki/The_Daily_Star_(Lebanon),Beirut,Lebanon,Lebanon,MENA,,
https://www.dailytelegraph.com.au,The Daily Telegraph,,News Source,International,Referring,,,,,,,,,,@dailytelegraph,The Daily Telegraph,,Australian news,,https://en.wikipedia.org/wiki/The_Daily_Telegraph,London,United Kingdom,Australia,Oceania,,
https://www.denverpost.com,The Denver Post,,News Source,International,Referring,left-center,,,Leans Liberal,-0.2012,neutral,-2.44,most reliable,50.2,@denverpost,The Denver Post,,Colorado news,,https://en.wikipedia.org/wiki/The_Denver_Post,Denver,,United States,NAmerica,,
https://www.desmoinesregister.com,The Des Moines Register,,News Source,International,Referring,,,,Leans Conservative,,,,,,@DMRegister,The Des Moines Register,,Iowa news,,https://en.wikipedia.org/wiki/The_Des_Moines_Register,Des Moines,,United States,NAmerica,,
https://thejewishnews.com/,The Detroit Jewish News,,News Source,Jewish,Referring,,,,,,,,,,@JewishNewsDet,The Detroit Jewish News,,Detroit-Based News Outlet,Pro-Israel,https://en.wikipedia.org/wiki/The_Detroit_Jewish_News,Michigan,,United States,NAmerica,,
https://www.economist.com/,The Economist,,News Source,International,Referring,left-center,left-center,mostly liberal,,-0.3173,neutral,-2.43,most reliable,42.34,@TheEconomist,,,,,https://en.wikipedia.org/wiki/The_Economist,London,United Kingdom,United Kingdom,Europe,,
https://tribune.com.pk,The Express Tribune,,News Source,International,Referring,,,,,-0.9487,,,,,@etribune,The Express Tribune,,Pakistan news,,https://en.wikipedia.org/wiki/The_Express_Tribune,Karachi,Pakistan,Pakistan,Asia,,
https://forward.com/,The Forward,,News Source,Jewish,Referring,,,,,,neutral,-5.69,mixed reliability,37.57,@jdforward,The Forward,,"US-Based, Jewish lense",Pro-Israel,https://en.wikipedia.org/wiki/The_Forward,,United States,United States,NAmerica,,135850
https://www.theglobeandmail.com,The Globe and Mail,,News Source,International,Referring,,,,,,,,,,@globeandmail,The Globe and Mail,,Canadian news,,https://en.wikipedia.org/wiki/The_Globe_and_Mail,Toronto,Canada,Canada,NAmerica,,
https://www.gospelmagazine.org.uk,The Gospel Magazine,,News Source,Christian,Referring,,,,,,,,,,,The Gospel Magazine,,"UK based Calvinist, evangelical news",,,,,United Kingdom,Europe,,
http://theguardian.com,The Guardian,,News Source,International,Referring,left-center,left-center,mostly liberal,,-0.9487,skews left,-6.45,most reliable,47.66,@guardian,The Guardian, ,UK news,,https://en.wikipedia.org/wiki/The_Guardian,London,United Kingdom,United Kingdom,Europe,,
https://www.theguardian.pe.ca,The Guardian PEI,,News Source,International,Referring,,,,,-0.5723,,,,,@PEIGuardian,The Guardian PEI,,PEI news,,,,,Canada,NAmerica,,
https://www.thespec.com,The Hamilton Spectator,,News Source,International,Referring,,,,,,,,,,@thespec,The Hamilton Spectator,,"Hamilton, Ontario local news",,https://en.wikipedia.org/wiki/The_Hamilton_Spectator,Hamilton,Canada,Canada,NAmerica,,
https://www.heraldscotland.com,The Herald (Glasgow),,News Source,International,Referring,,,,,,,,,,@heraldscotland,The Herald (Glasgow),,Scottish news,,https://en.wikipedia.org/wiki/The_Herald_(Glasgow),,,Scotland,Europe,,
https://thehill.com,The Hill,,News Source,International,Referring,center,center,,,-0.9487,neutral,0.09,most reliable,46.23,@thehill,The Hill, ,"US politics, Washington",,https://en.wikipedia.org/wiki/The_Hill_(newspaper),"Washington, DC",United States,United States,NAmerica,,
http://thehindu.com,The Hindu,,News Source,International,Referring,,,,,-0.9487,,,,,@The_Hindu,The Hindu,,Indian news in English,,https://en.wikipedia.org/wiki/The_Hindu,Chennai,India,India,Asia,,
http://thehindustantimes.com,The Hindustan Times,,News Source,International,Referring,,,,,-0.9487,,,,,@htTweets,The Hindustan Times,,,,https://en.wikipedia.org/wiki/Hindustan_Times,,India,India,Asia,,
https://www.huffpost.com/,The Huffington Post,,News Source,International,Referring,left-center,,mostly liberal,,,skews left,-11.64,mixed reliability,39.98,@HuffPost,The Huffington Post,,,,https://en.wikipedia.org/wiki/HuffPost,New York City,United States,United States,NAmerica,,
https://www.independent.co.uk,The Independent,,News Source,International,Referring,left-center,,,,-0.3598,neutral,-4.6,most reliable,43.2,@Independent,The Independent,,UK news,,https://en.wikipedia.org/wiki/The_Independent,March,,United Kingdom,Europe,,
https://theintercept.com,The Intercept,,News Source,International,Referring,left,left,,,-0.9487,skews left,-15.52,mixed reliability,37.76,@theintercept,The Intercept, ,US left-wing news,,https://en.wikipedia.org/wiki/The_Intercept,New York City,United States,United States,NAmerica,,
https://www.irishexaminer.com,The Irish Examiner,,News Source,International,Referring,,,,,,,,,,@irishexaminer,The Irish Examiner,,Irish news,,https://en.wikipedia.org/wiki/Irish_Examiner,Munster,,Ireland,Europe,,
http://thejc.com,The Jewish Chronicle,,News Source,Jewish,Referring,,,,,-0.9487,,,,,@jewishchron,The Jewish Chronicle,,UK-Based Major News Site,Pro-Israel,https://en.wikipedia.org/wiki/The_Jewish_Chronicle,,,United Kingdom,Europe,,
http://www.jewishobserver-la.com/,The Jewish Observer (Los Angeles),,News Source,Jewish,Referring,,,,,,,,,,,The Jewish Observer (Los Angeles),,California-Based News Outlet,Pro-Israel,https://en.wikipedia.org/wiki/The_Jewish_Observer_(Los_Angeles),Los Angeles,,United States,NAmerica,,
https://www.jewishpostandnews.ca/,The Jewish Post & News,,News Source,Jewish,Referring,,,,,,,,,,@JewishPostWpg,The Jewish Post & News,,Canada-Based News Outlet,Pro-Israel,https://en.wikipedia.org/wiki/The_Jewish_Post_%26_News,Winnipeg,Canada,Canada,NAmerica,,
https://www.jewishpress.com/,The Jewish Press,,News Source,Jewish,Referring,,,,,0.5559,,,,,@JewishPress,The Jewish Press,,New York-Based News Outlet,Pro-Israel,https://en.wikipedia.org/wiki/The_Jewish_Press,Brooklyn,,United States,NAmerica,,
http://thejewishvoice.com/,The Jewish Voice,,News Source,Jewish,Referring,,,,,,,,,,@JewishVoice,The Jewish Voice,,New York-Based News Outlet,Pro-Israel,https://en.wikipedia.org/wiki/Jewish_Voice,Brooklyn,,United States,NAmerica,,
https://www.journalpioneer.com,The Journal Pioneer,,News Source,International,Referring,,,,,,,,,,@JournalPEI,The Journal Pioneer,,PEI news,,https://en.wikipedia.org/wiki/Journal_Pioneer,Prince Edward,Canada,Canada,NAmerica,,
http://www.journalgazette.net,The Journal-Gazette,,News Source,International,Referring,,,,,,,,,,@jgfortwayne,The Journal-Gazette,,Indiana news,,https://en.wikipedia.org/wiki/The_Journal_Gazette,Fort Wayne,,United States,NAmerica,,
https://www.theledger.com,The Ledger,,News Source,International,Referring,,,,,,,,,,@theledger,The Ledger,,Regional florida news,,,,,United States,NAmerica,,
